Identifier	State	StaetCode	State Text	ACD
59192	NJ	138F	GDL OTHER VIOLATION NOT SPECIFIED	
59195	NJ	138G	GDL DECAL RESTRICTION	
59210	NJ	4821	IMPROPER USE OF DIVIDED HIGHWAY	
59213	NJ	489A	FOLLOWING UNLAWFULLY OR IMPROPERL	
59216	NJ	4922	VH MOVE OVER FOR EMERGNCY VEHICLES	
59219	NJ	5014	DRIVING AFTER UNDERAGE DRINKING	
59228	NJ	C344	UNSAFE VEHICLE	
59330	TX		DRIVER!S VIEW OBSTRUCTED	
59333	TX		DRIVING UNDER THE INFLUENCE OF ALCOHOL OR DRUGS	
59348	TX		EQUIPMENT USED IMPROPERLY OR OBSTRUCTED	
59351	TX		EXPIRED OR NO NON-COMMERCIAL DRIVER LICENSE OR PER	
59369	TX		FAILED TO YIELD RIGHT OF WAY LEAVING PRIVATE DRIVE	
59384	TX		"FAILURE TO ANSWER A CITATION, PAY FINES, PENALTIES"	
59390	TX		FAILURE TO OBEY TRAFFIC SIGN	
59393	TX		FAILURE TO STOP - BASIC RULE AT UNSIGNED INTERSECT	
59399	TX		FTY ROW AT TRAFFIC SIGN	
59402	TX		FTY ROW AT TRAFFIC SIGNAL	
59405	TX		FTY ROW TO PEDESTRIAN (INCLUDES HANDICAPPED OR BLI	
59408	TX		IMPROPER LANE OR LOCATION	
59411	TX		IMPROPER LANE OR LOCATION - ENTRANCE/EXIT RAMP OR	
59414	TX		IMPROPER LANE OR LOCATION - IN HOV OR RESTRICTED L	
59417	TX		IMPROPER LANE OR LOCATION - TRAVELING IN TURN (OR	
59420	TX		IMPROPER OR ERRATIC (UNSAFE) LANE CHANGES	
59423	TX		IMPROPER POSITION FOR TURNING	
59441	TX		"STOPPING, STANDING, OR PARKING: OBSTRUCTING OR IMP"	
59447	TX		USE OF RADAR OR LASER DETECTOR PROHIBITED BY LAW	
59516	WV		IMPROPER STOP/START	
59606	TN	019	MISCELLANEOUS TRAFFIC VIOLATION	
59661	CT		DRIVE WRONG WAY	
59664	CT		FT OBEY SIGN/TRAFFIC CONTROL DEVICE	
59667	CT		FT USE HEADLIGHT DIMMER AS REQ	
59670	CT		FTY ROW TO EMERGENCY VEH	
59673	CT		FTY ROW WHEN TURNING	
59676	CT		HIT & RUN -FT STOP & RENDER AID AFTER ACC-PD ACC	
59679	CT		ILLEGAL POSSESSION OF ALCOHOL	
59682	CT		IMPR LANE/LOCATION - ENTRANCE/EXIT RAMP/WAY	
59685	CT		IMPR LANE/LOCATION - IN HOV/RESTRICTED LANE	
59688	CT		IMPROPER PASS	
59691	CT		NO OPERATORS LICENSE	
59694	CT		PARENT/GUARDIAN WITHDREW PERMISSION  FOR LICENSE OR REGISTRATION	
59703	FL		320.061 TAG-UNLAWFUL ALTERATION	
59706	FL		320.131 (3) TEMP TAG-UNLAWFUL USE	
59709	FL		322.03(5)EXPIRED DL (MORE THAN 6 MONTHS)	
59718	FL		ADMINISTRATIVE PER SE FOR BAC	
59733	FL		FAIL TO APPEAR ON TRAFFFIC SUMMONS	
59739	FL		FAIL TO PAY TRAFFIC FINE	
59742	FL		FAIL YIELD RT OF WAY 316.075(1)(C)1	
59754	FL		OOS CONVICTION N/A TO FL STATUTES	
59757	FL		OVERLOAD/IMPROPER USE M/CYCLE/MOPED	
59769	FL		THEFT	
59778	FL		VIOL RESTRICT 322.16 (1)(A)	
59796	GA		DRIVING WITHOUT A LICENSE	
59802	GA		DUI - DRUGS AND ALCOHOL COMBINED	
59814	GA		FTY ROW AT TRAFFIC SIGNAL	
59823	GA		NON-GEORGIA CONVICTION - NO DETAIL	
59826	GA		OPERATING VEHICLE WITH SUSP/CANC/REV REGISTRATION	
59829	GA		"POSSESSION OF MARIJUANA,"	
59934	IN		ACD VIOLATION - CARELESS DRI	
59937	IN		ACD VIOLATION - FINANCL RESP	
59940	IN		ACD VIOLATION - FOL IMPROPER	
59943	IN		ACD VIOLATION - HHMT WH DRIV	
59946	IN		ACD VIOLATION - MPRP EQUPMNT	
59952	IN		ACD VIOLATION - STRAY FRM LN	
59958	IN		ALCOHOL MINOR+18 W/O VEH	
59982	IN		DRUG POSSESSION WITH VEHICLE-FELONY	
59985	IN		DRUG VIOLATION WITH VEHICLE MISDEMEANOR	
60006	IN		IMPROPER USE OF LIGHTS/REFLECTORS	
60009	IN		LOCAL ORDINANCE VIOLATION	
60021	IN		NO LICENSE OR PERMIT IN POSSESSION	
60024	IN		NO LICENSE OR PERMIT IN POSSESSION 54/40	
60027	IN		NO OR IMPROPER MUFFLER	
60030	IN		OPERATING PER SE WITH ALCOHOL CONCENTRATION OF .08 OR ABOVE	
60039	IN		OPERATING WITH A CONTROLLED SUBSTANCE OR ITS METABOLITE IN THE BODY	
60042	IN		POSSESSION OF PARAPHERNALIA INFRACTION	
60123	KY		IGNITION INTERLOCK DEVICE REQUIRED	
60129	ME		B26/00000: DRIVING WHILE LICENSE SUSPENDED	
60132	ME		B54/00000:	
60135	ME		CARRYING MOTORCYCLE PASSENGER ON LEARNER!S	
60138	ME		D40/00000:	
60141	ME		DRIVING WHILE LICENSE WITHDRAWN	
60144	ME		E30/00000:	
60147	ME		EVASION REG FEES AND TAXES	
60150	ME		EXCESS VEHICLE WEIGHT	
60183	ME		OPERATING UNDER THE INFLUENCE OF INTOXICAN	
60216	ME		TOWING UNREGISTERED TRAILER	
60222	MD		ADVERTISE/PROMOTE SALE COVER FOR REGISTRATION PLATE	
60225	MD		CHILD OR YOUTH RESTRAINT NOT USED PROPERLY AS REQUIRED	
60228	MD		DIP REFERRAL LETTER MAILED	
60231	MD		DIS/PERMIT DIS OF REG PLATE ISSUED TO OTHER VEH/PERSON	
60240	MD		DR VEH ON VEHICULAR CROSSING EXCEEDING HGT/WGT/WIDTH(MV)	
60243	MD		DR VEH UNAUTH FLASHING LIGHTS/ COLOR LAMPS/SIGNALS	
60246	MD		DR VEH WHILE WEAR HEADSET/EAR PHONES/EARPLUGS BOTH EARS(MV)	
60249	MD		DRIV FAIL TO STOP AT RED TRAFF SIGNAL BEFORE LEFT TURN (MV	
60252	MD		DRIV VEH IN HOV LANE WHEN NOT AUTH BY TRAFFIC CONTROL DEVICE	
60273	MD		DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL   (MV)	
60279	MD		DRIVER LICENSE RECEIVED AT MVA AND DESTROYED	
60294	MD		DRIVING WRONG WAY	
60297	MD		EQUIPMENT USED IMPROPERLY OR OBSTRUCTED	
60303	MD		EXPIRED OR NO NON COMMERCIAL DRIVER LICENSE OR PERMIT	
60309	MD		FAIL TO MAKE LANE CHANGE/SLOW DOWN WHILE PASSING EMERG VEH	
60321	MD		FAILED TO SHOW NON-COMM DRIVER LICENSE-INCLUDE LEARNER PERMIT	
60327	MD		FAILURE TO MAINTAIN REQUIRED LIABILITY INSURANCE	
60333	MD		FAILURE TO OBEY LANE MARKINGS OR SIGNAL	
60336	MD		FAILURE TO OBEY SIGN OR TRAFFIC CONTROL DEVICE	
60339	MD		FAILURE TO OBEY STOP SIGN	
60342	MD		FAILURE TO OBEY TRAFFIC SIGNAL OR LIGHT	
60345	MD		FAILURE TO PROPERLY MAINTAIN/ FASTEN/POSITION VISIBLE PLATE	
60348	MD		FAILURE TO SIGNAL LANE CHANGE OR TURN	
60354	MD		FAILURE TO USE LIGHTS AS REQUIRED	
60357	MD		FAILURE TO USE OR IMPROPER SIGNAL	
60372	MD		FRONT SEAT PASSENGER IN MV WITHOUT SEAT BELT RESTRAINT	
60375	MD		HEARING- LICENSE RESTRICTED TO EDUCATIONAL PURPOSES ONLY	
60378	MD		HEARING-LICENSE RESTRICTED TO EMP AND EDUC PURPOSES ONLY	
60381	MD		HEARING-LICENSE RESTRICTED TO EMPLOYMENT PURPOSES ONLY	
60384	MD		HEARING-LICENSE RESTRICTED TO INTERLOCK	
60387	MD		HEARING-LICENSE RESTRICTED TO MEDICAL VISITS ONLY	
60390	MD		HEARING-LICENSE SUSPENDED FOR	
60393	MD		HEARING-RESTRICTED TO ALCOHOL PREVENTION/TREATMENT PROGRAM	
60396	MD		HEARING-REVOKED	
60399	MD		HEARING-SUSPENDED RETRO-ACTIVE TO	
60402	MD		HEARING-SUSPENSION MODIFIED	
60405	MD		IMP/UNAUTH PARK/STAND/STOP/ OR MOVE VEHICLE	
60408	MD		IMPROPER DIS OF CURRENT AND VINTAGE REGISTRATION PLATES	
60414	MD		IMPROPER LANE OR LOCATION - IN HOV OR RESTRICTED LANE	
60417	MD		IMPROPER OR ERRATIC (UNSAFE) LANE CHANGES	
60423	MD		KNOWINGLY PERMIT UNAUTHORIZED PERSON TO DRIVE VEHICLE(MV)	
60429	MD		MAKING IMPROPER RIGHT TURN	
60432	MD		MISREP OF IDENTITY/FACTS ON APP FOR NON CDL LIC OR PERMIT	
60435	MD		OP MV DIS DISABLED PARKING PERMIT WITHOUT OR NOT DISABLED	
60447	MD		OPERATING WITHOUT EQUIPMENT AS REQUIRED BY LAW	
60450	MD		OWNER PERMIT VEHICLE OPERATION WITHOUT PROPER PLATES/STICKERS	
60459	MD		PERMIT/OCCUPY AREA OF VEHICLE INTENDED TO CARRY CARGO (MV)	
60462	MD		PERSON OCCUPY AREA OF VEHICLE INTENDED TO CARRY CARGO (MV)	
60465	MD		SEAT BELT NOT USED PROPERLY AS REQUIRED	
60468	MD		SELL/OFFER/USE UNAPPROVED/ IMPROPER LAMP/REFLECTOR	
60480	MD		STOP/PRK/LV VEH UNATTENDED W/O REMOVING KEY/SETTING BRAKE(MV)	
60492	MD		USE OF RADAR OR LASER DETECTOR PROHIBITED BY LAW	
60498	MD		VEH OWNER FAIL CHANGE NAME/ ADDRESS WITHIN 30 DAYS	
60501	MD		VIOL RULES/REG OF INSPECTION PROCEDURES/INSPECT REQUIREMENT	
60507	MD		VIOLATION OF COURT ORDERED PROBATION	
60685	MI		UDAA W/O INTENT TO STEAL	
60688	MI		UNAUTHORIZED USE OF HIGH	
60694	MN		AGG DRIVING WHILE UNDER INFLUENCE - PLED /.22	
60697	MN		ALLOW ANOTHER TO USE DL/MN ID CARD	
60700	MN		"ALLOW NO DL, CLASS OR ENDORS VIOLATION"	
60703	MN		ALLOW NO FAULT	
60706	MN		ALTERED DRIVER LICENSE/MN ID CARD	
60709	MN		CRIMINAL VEHICULAR OPERATION - GREAT BODILY HARM	
60712	MN		CROSSING MERDIAN OR CENTER LANE	
60715	MN		DEFACED OR MUTILATED DL	
60718	MN		DRIVE WHILE UNDER INFLUENCE OF CONT. SUBSTANCE - PLED	
60724	MN		DRIVING WHILE UNDER INFLUENCE - .16 OR MORE /.20	
60730	MN		FAIL TO OBEY PEACE OFFICER	
60733	MN		FAIL TO REPORT ACCIDENT	
60736	MN		FAIL TO STOP AT RAILROAD CROSSING	
60739	MN		FLEE PEACE OFFICER	
60742	MN		GIVE FALSE INFO TO POLICE OFFICER	
60745	MN		ILLEGAL PARKING	
60748	MN		IMPLIED CONSENT - TEST  /.23	
60751	MN		IMPLIED CONSENT TEST OFF ROAD REC VEH /.15	
60754	MN		IMPLIED CONSENT - TEST REFUSAL CONVICTION	
60757	MN		IMPROPER SIGNAL	
60760	MN		INVALID DRIVER LICENSE	
60763	MN		MAKE FRAUDULENT DRIVER LICENSE	
60766	MN		MOTORCYLCE INSTRUCTION PERMIT VIOLATION	
60772	MN		NO MOPED PERMIT	
60775	MN		NO PROOF OF INSURANCE CONVICTION	
60778	MN		NO PROOF OF INSURANCE-COURT ADM	
60781	MN		NO PROOF OF INSURANCE POLICE ISS	
60784	MN		NO PROOF OF INSURANCE REPORT	
60787	MN		PASSENGER ON MOPED	
60790	MN		RESTRICTION VIOLATION	
60793	MN		SERVICE LANE INFRACTION	
60796	MN		TEXTING WHILE OPERATING A MOTOR VEHICLE	
60799	MN		"UNCODED, MISDEMEANOR, MOVING VIOLATION"	
60802	MN		"UNCODED, NOT COUNTED TOWARD ANY DEPARTMENT ACTION"	
60805	MN		"UNCODED, REVIEW BY DEV REQUIRED"	
60811	MN		(UNKNOWN CODE: DA6)	
60814	MN		UNSAFE START	
60817	MN		USE OR DISPLAY ANOTHERS DL/MN ID CARD	
60820	MO	E01	OPERATING W/O EQUIPMENT AS REQUIRED BY LAW	
60823	MO	M85	TEXTING WHILE DRIVING	
60856	NC	663	DRV WHILE LIC REVOKED-NO ACTION	
60874	ND		DRAG RACING M V	
60877	ND		DRIVING UNDER SUSPENSIO	
60880	ND		OPERATE MV WITHOUT LIC	
60883	OH		CURFEW VIO TEMP DR LIC	
60886	OH		DRIVING IN MARKED LANES	
60889	OH		DRIVING UNDER 12 PT SUSP	
60892	OH		DRIVING UNDER OVI SUSP	
60895	OH		DRIVING WHILE TEXTING	
60898	OH		DRVG W/O MTRCYC LIC/ENDRS	
60901	OH		DRVNG UNDR NON PYMT JDGMT	
60904	OH		FAIL CONTROL 4511.202	
60907	OH		FAILURE TO REINSTATE	
60910	OH		HEADPHONES	
60913	OH		MC TEMP PERMIT W/0 HELMET	
60916	OH		OBSTRUCTED VIEW	
60922	OH		OVI-ALCOHOL &/OR DRUG	
60925	OH		OVI/REFUSAL	
60928	OH		OVUAC	
60934	OH		UNREASONABL FOR CONDITION	
60937	OH		WILLFUL/WANTON DISREGARD	
60940	OH		"WRG ENTRST 4511.203A 4,5"	
60943	PA		CARELESS DRIVING INJURY	
60946	PA		DRIVING CMV NO CDL OBTAIN	
60949	PA		DRIVING ON DIVIDED HWY	
60952	PA		DRIVING RIGHT SIDE ROAD	
60955	PA		DRIVING W/O II	
60958	PA		DRIVING WRONG WAY	
60961	PA		DRVNG CMV WITH PRIV SUSP	
60964	PA		DRVNG UNDR SUSP ALC/DRUG	
60967	PA		DSRGRD TRAF LANE-3 LANE	
60970	PA		DSRGRD TRAF LANE-SINGLE	
60976	PA		DUI BAC .10-<.16	
60979	PA		EQUIP USED IMPROPERLY	
60982	PA		EXPIRED OR NO DL	
60985	PA		FAIL APPEAR FOR TRIAL	
60988	PA		FAIL COMPLY W/FR LAW	
60991	PA		FAIL KEEP PROPER LANE	
60994	PA		FAIL TO ANSWER	
60997	PA		FAIL TO OBEY BARRIER	
61000	PA		FAIL TO RESPOND	
61003	PA		FAIL TO USE LIGHTS	
61006	PA		FAILURE TO STOP	
61009	PA		FLASHING RED LIGHT VIOL	
61012	PA		FL SHOW ID	
61015	PA		FOLLOWING IMPROPERLY	
61018	PA		FTO LANE MARK/SIGNAL	
61021	PA		FTO RESTRICTED LANE	
61024	PA		FTY ROW AT TRAF SIGNL	
61027	PA		FTY TO EMERGENCY VEHICLE	
61030	PA		GIVING WRONG SIGNAL	
61033	PA		HAZMAT VIOLATION	
61036	PA		HHMT WH DRIVING	
61039	PA		IMP HIGH BEAMS	
61042	PA		IMPROPER STARTING	
61045	PA		IMPROPER TIRES	
61048	PA		IMPROPER TURN	
61051	PA		IMPROPER TURN SIGNAL	
61054	PA		IMPROP LANE CHANGES	
61057	PA		IMPROP LANE HOV RESTR	
61060	PA		IMPROP LANE OR LOCAT	
61063	PA		IMPROP LN ONCOM TRAF	
61066	PA		IMPROP LN RD SHLDR/SW	
61069	PA		IMPROP MTRCYCLE EQUIP	
61072	PA		INABILITY TO CTRL VEH	
61075	PA		INATTENTIVE DRIVING	
61078	PA		MSREP OF ID ON DL APP	
61081	PA		NO MED CERT/DISAB INF	
61084	PA		OPER W/O BRAKES	
61087	PA		OVERTAKNG VEHCLE ON RIGHT	
61090	PA		PASSENGER RESTRICTION	
61093	PA		POSS OPEN CONTAINER	
61096	PA		PROHIBIT SPECIFIC PLACES	
61102	PA		TEXTING WHILE DRIVING	
61105	PA		TRAF CONTROL HAZARD COND	
61108	PA		UNAUTH USE OF RADAR	
61111	PA		UNSAFE COND OF VEH	
61114	PA		UNSAFE OPERATION	
61117	PA		USING HAND HELD DEV CMV	
61120	PA		VIOLATED OLL	
61123	PA		VIOL LIMITED LIC COND	
61126	PA		VIOL NO PASSING ZONE	
61129	PA		WINDSHIELD OR WIPERS	
61132	VA		ADMINISTRATIVE PER SE FOR .08 BAC	
61135	VA		"APPLY TINT,SIGN,DECAL ON WNDSHLD-2ND/SUB"	
61138	VA		AUTH PERSN DUI OR H.O./DUI SUSP TO DR	
61141	VA		CHILD RESTRAINT VIOL(AGE 7 & UND)2ND/SUB	
61147	VA		CHILD RESTRAINT VIOLATION(AGE 8 & UNDER)	
61150	VA		CONTRACT PASSENGER CARRIER VIOLATION	
61153	VA		DISPLAY OF NON-PERMISSABLE LIGHTS	
61156	VA		"DRINKING WHILE DRIVING, OPEN CONTAINER"	
61159	VA		DRIVE CMV W/OUT CDL-PROPER CLASS/ENDORS	
61162	VA		DRIVE ON SUSPENDED LICENSE/FINE &COST	
61165	VA		DRIVING TOO FAST FOR CONDITIONS(NON RECKLESS)	
61171	VA		DRV IN VIOLATION PASS REST/LEARNER PMT	
61174	VA		ELUDING/DISREGARD POLICE-FELONY	
61177	VA		ELUDING/DISREGARD POLICE-MISDEMEANOR	
61180	VA		ELUDING POLICE-FELONY	
61183	VA		ELUDING POLICE-MISDEMEANOR	
61186	VA		EXCESSIVE VEH LENGTH/TWO LANE HIWAY	
61189	VA		FAIL GIVE WAY WHEN ABREAST ANOTHER VEH	
61192	VA		FAIL STP @ ACC-PROP DAMG $1000/LESS-MISD	
61195	VA		FAIL STP @ ACC-PROP DAMG $1000/MORE-FELO	
61198	VA		FAIL STP @ ACC-PROP DAMG =/<$1000-MISD	
61201	VA		"FAIL TO ANSWER CITATION, PAY FINES/PENALTIES/COSTS"	
61207	VA		FAIL TO CARRY/EXHIBIT REGISTRATION CARD	
61210	VA		FAIL TO FIX DEFECTS AFTER INSPECTION	
61213	VA		FAIL TO RPT ACC/UNATTN PROP-$249 OR LESS	
61216	VA		FAIL TO RPT ACC/UNATTN PROP-$250 OR MORE	
61219	VA		FAIL TO SHOW INS CARD/UMV FEE-LAW ENFORC	
61222	VA		FAIL TO SHOW NON-COMMERCIAL DRIVER!S LICENSE	
61225	VA		FAIL YIELD AT UNCONTROLLED !T! INTERSEC	
61228	VA		GRAND LARCENY VEHICLE/PARTS	
61231	VA		HIGH MOUNT BRAKE LIGHT VIOLATION	
61234	VA		HOV LANE VIOLATION	
61237	VA		HOV VIOL 1ST OFF-PLAN DIST 8	
61240	VA		HOV VIOL 2ND OFF-PLAN DIST 8	
61243	VA		HOV VIOL 4TH/SUBSEQ PLANNING DIST 8	
61246	VA		HOV VIOLATION 3RD OFF PLANNING DIST 8	
61252	VA		IMPROPER/FICTITIOUS REG/TITLE/PLATE	
61255	VA		IMPROPER OR ERRATIC LANE CHANGE	
61258	VA		"IMPROPER SIGNAL BACK, STOP OR TURN"	
61261	VA		"INATTENTIVE, CARELESS OR NEGLIGENT DRIVING"	
61264	VA		INOPERATIVE BRAKES ON TRAILER	
61267	VA		JUV PASSENGER RESTRICTION VIOLATION	
61270	VA		JV/NON-MOTOR VEHICLE RELATED	
61273	VA		LEARNER!S PERMIT VIOL-DRV W/OUT LIC DRVR	
61276	VA		LOCAL ORDINANCE VIOLATION	
61282	VA		NONCOMPLIANCE OF OOS CITATION	
61285	VA		OPERATE SUSPENDED OR REVOKED	
61288	VA		OPERATE WITHOUT MUD FLAPS	
61294	VA		OPERATING AFTER DECLARED H.O.	
61297	VA		OPERATING AFTER DECLARED H.O.- FELONY	
61300	VA		OPERATING AFTER DECLARED H.O.-MISDEMR	
61303	VA		OPER MOTORCYCLE W/OUT MUFFLER	
61306	VA		OPER/PERMIT OPER UNINS MV (NON OWNER)	
61309	VA		OWNER OPER/PRMIT OPERATION UNINS MTR VEH	
61312	VA		PEDESTRIAN IMPEDING TRAFFIC	
61315	VA		PETIT LARCENY VEHICLE/PARTS	
61318	VA		POSS/LEND REG/LIC-NOT ENTITLED	
61321	VA		PURCHASE ALCOHOL FOR UNAUTHRZD PERSON	
61327	VA		RECKL DRV-FAULTY BRAKES/IMPROPER CONTROL	
61330	VA		RECKLES DRV-SP 20 OR MORE ABOVE SP LIMIT	
61333	VA		RECKLESS DRIV-DR TOO FAST FOR COND-MISD	
61336	VA		RECKLESS DRIVING-GENERALLY	
61342	VA		RECKLESS DRIVING-PASS SCHOOL BUS-MISD	
61345	VA		RECKLESS DRIVING/RACING - MISDEMEANOR	
61348	VA		"RECKLESS DRIV-ON PARKING LOTS, ETC-MISD"	
61351	VA		RECKLESS DRV-FAIL STOP ENTERING HWY-MISD	
61354	VA		RECKLESS DRVING-IMPROPER CONTROL-MISD	
61357	VA		RECKLESS DRV-PASS ON CREST OF HILL-MISD	
61360	VA		RECKLS DRV-IMPROPER CONTROL/BRAKES-MISD	
61366	VA		RECKLSS DRV-FAIL GIVE PROPER SIGNAL-MISD	
61369	VA		REFUSED BLOOD/BREATH 2ND OFFENSE	
61372	VA		REFUSED BLOOD/BREATH 3RD OFFENSE	
61375	VA		SAFETY BELT VIOL/MINOR(AGES 8 TO 17 YRS)	
61378	VA		SAFETY LAP BELT/SHOULDER HARNESS VIOL	
61381	VA		SELL/DRIVE VEHICLE WITH MUFFLER CUTOUT	
61393	VA		STOP/STAND/PARK OBSTRUCT/IMPEDE TRAFFIC W/MOTOR VE	
61396	VA		TAMPERING WITH VEHICLE	
61399	VA		TEXTING/EMAILING WHILE DRIVING-1ST	
61402	VA		UNDERAGE-DRIVING AFTER CONSUMING ALCOHOL	
61405	VA		UNDER AGE OPERATING MOPED/NO ID	
61408	VA		UNLAWFUL/IMPROPER USE WARNING DEVICE	
61411	VA		USING A HAND-HELD MOBILE TELEPHONE	
61414	VA		VEHCLE VIOL/FLASHING LIGHTS-INJ/PROP DAM	
61417	VA		VEHICLE VIOLATION/FLASHING LIGHTS	
61420	WI		DOF-DEFACE OR OBSTRUCT OFFICIAL SIGN	
61423	WI		DOF-INTERFERE W/ TRAFFIC SIGN/SIGNAL	
61426	WI		DS-DEFECTIVE SPEEDOMETER	
61429	WI		FNC-FAILURE TO NOTIFY OF ADDRESS OR NAME CHANGE	
61432	WI		IB-IMPROPER BRAKES	
61435	WI		IM-IMPROPER MUFFLER	
61438	WI		IP-IMPROPER PLATES	
61441	WI		MDO-GDL MISCELLANEOUS DRIVING OFFENSE	
61444	WI		POH-PARKING ON HIGHWAY	
61447	WI		RPS-RESTRICTIONS ON PARKING AND STOPPING	
61450	WI		UV-UNREGISTERED VEHICLE	
